JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Lokop,"9,742,379","441,929",Aceh,Aceh Timur,Belum Beroperasi,,,invalid_coords
Puskesmas,Peusangan,"9,678,749","519,671",Aceh,Bireuen,Belum Beroperasi,,,invalid_coords
Puskesmas,Rusip Antara,"9,662,975","46,302",Aceh,Aceh Tengah,Belum Beroperasi,,,no_data
Puskesmas,Jambur Lak-Lak,"9,769,628","364,224",Aceh,Aceh Tenggara,Belum Beroperasi,,,invalid_coords
Rumah Sakit,RS Umum Daerah Dr. H. Yulidin Away,97.3665,3.00035,Aceh,Aceh Selatan,Beroperasi,,Pasielembang,ok
Rumah Sakit,RS Umum Daerah H. Sahudin Kutacane,97.5891,3.76794,Aceh,Aceh Tenggara,Beroperasi,,Singahmulo,ok
Rumah Sakit,RS Ibu dan Anak Keluarga Desa,97.82262,3.47056,Aceh,Aceh Tenggara,Beroperasi,,Perapattitipanjang,ok
Rumah Sakit,RS Umum Nurul Hasanah,97.8085569,3.4957305,Aceh,Aceh Tenggara,Beroperasi,,Kampungmelayu Satu,ok
Rumah Sakit,RS Umum Daerah dr. Zubir Mahmud,97.79774,4.91983,Aceh,Aceh Timur,Beroperasi,,Ketapangdua,ok
Rumah Sakit,RS Umum Graha Bunda,97.76336,4.95734,Aceh,Aceh Timur,Beroperasi,,Teupinbatee,ok
Rumah Sakit,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,97.893,4.80925,Aceh,Aceh Timur,Beroperasi,,Keudepeureulak,ok
Rumah Sakit,RS Umum Fandika,96.84677,4.62438,Aceh,Aceh Tengah,Beroperasi,,Blangkolak Satu,ok
Rumah Sakit,RS Umum Daerah Datu Beru Takengon,96.85176,4.63634,Aceh,Aceh Tengah,Beroperasi,,Mongal,ok
Rumah Sakit,RS Umum Daerah Cut Nyak Dhien,96.12977,4.15626,Aceh,Aceh Barat,Beroperasi,,Rundeng,ok
Rumah Sakit,RS Umum Montella,96.1191,4.17221,Aceh,Aceh Barat,Beroperasi,,Seuneubok,ok
Rumah Sakit,RS Umum Harapan Sehat,96.13423,4.17014,Aceh,Aceh Barat,Beroperasi,,Leuhan,ok
Rumah Sakit,RS Tk. IV IM 07.02,96.1327488,4.1317561,Aceh,Aceh Barat,Beroperasi,,Pasaraceh,ok
Rumah Sakit,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,97.10364,5.09359,Aceh,Pidie,Beroperasi,,Ietarek Dua,ok
Rumah Sakit,RS Islam Ibnu Sina Sigli,95.95656,5.36957,Aceh,Pidie,Beroperasi,,Cot Teungoh,ok
Rumah Sakit,RS Umum Mufid,95.9588,5.37565,Aceh,Pidie,Beroperasi,,,no_data
Rumah Sakit,RS Umum Citra Husada,95.9598,5.36201,Aceh,Pidie,Beroperasi,,Mesjid Reuntoh,ok
Rumah Sakit,RS Umum Daerah TGK Chik Ditiro Sigli,95.95979,5.36378,Aceh,Pidie,Beroperasi,,Mesjid Reuntoh,ok
Rumah Sakit,RS Umum Harapan Ibu,96.0193466,5.2662247,Aceh,Pidie,Beroperasi,,Dayah Kampong Pisang,ok
Rumah Sakit,RS Umum Cut Meutia Kab. Aceh Utara,97.149,5.1892,Aceh,Aceh Utara,Beroperasi,Banda Sakti,,ok
Rumah Sakit,RS Umum Daerah dr. Muchtar Hasbi,97.35177,4.57415,Aceh,Aceh Utara,Beroperasi,,,no_data
Rumah Sakit,RS Zahra,97.33977,5.06043,Aceh,Aceh Utara,Beroperasi,,Matangpanyang,ok
Rumah Sakit,RS Umum Prima Inti Medika,97.02597,5.22152,Aceh,Aceh Utara,Beroperasi,,Tambonbaroh,ok
Rumah Sakit,RS Umum Daerah Aceh Singkil,97.92711,2.3478,Aceh,Aceh Singkil,Beroperasi,,Sepingbaru,ok
Rumah Sakit,RS Umum Malahayati,96.697,5.20945,Aceh,Bireuen,Beroperasi,,Baro,ok
